State,State Code,Year,Year Code,Gender,Gender Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Drug/Alcohol Induced Causes,Drug/Alcohol Induced Causes Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
District of Columbia,11,2013,2013,Male,M,45-54 years,45-54,Drug-Induced Causes,D,17,0,Unreliable,0,0,0
District of Columbia,11,2013,2013,Male,M,45-54 years,45-54,Alcohol-Induced Causes,A,11,38254,Unreliable,14.4,51.5,8.7
District of Columbia,11,2013,2013,Male,M,55-64 years,55-64,Drug-Induced Causes,D,34,0,0.0,0,0,0
District of Columbia,11,2013,2013,Male,M,55-64 years,55-64,Alcohol-Induced Causes,A,23,31822,72.3,45.8,108.5,15.1
District of Columbia,11,2014,2014,Female,F,45-54 years,45-54,Drug-Induced Causes,D,17,0,Unreliable,0,0,0
District of Columbia,11,2014,2014,Female,F,55-64 years,55-64,Drug-Induced Causes,D,11,36775,Unreliable,14.9,53.5,9
District of Columbia,11,2014,2014,Male,M,45-54 years,45-54,Drug-Induced Causes,D,22,38498,57.1,35.8,86.5,12.2
District of Columbia,11,2014,2014,Male,M,55-64 years,55-64,Drug-Induced Causes,D,23,32225,71.4,45.2,107.1,14.9
District of Columbia,11,2014,2014,Male,M,55-64 years,55-64,Alcohol-Induced Causes,A,21,32225,65.2,40.3,99.6,14.2
District of Columbia,11,2015,2015,Female,F,45-54 years,45-54,Drug-Induced Causes,D,15,0,Unreliable,0,0,0
District of Columbia,11,2015,2015,Female,F,55-64 years,55-64,Drug-Induced Causes,D,11,0,Unreliable,0,0,0
District of Columbia,11,2015,2015,Male,M,35-44 years,35-44,Drug-Induced Causes,D,10,0,Unreliable,0,0,0
District of Columbia,11,2015,2015,Male,M,45-54 years,45-54,Drug-Induced Causes,D,29,0,0.0,0,0,0
District of Columbia,11,2015,2015,Male,M,45-54 years,45-54,Alcohol-Induced Causes,A,14,0,Unreliable,0,0,0
District of Columbia,11,2015,2015,Male,M,55-64 years,55-64,Drug-Induced Causes,D,36,0,0.0,0,0,0
District of Columbia,11,2015,2015,Male,M,55-64 years,55-64,Alcohol-Induced Causes,A,24,0,0.0,0,0,0
District of Columbia,11,2015,2015,Male,M,65-74 years,65-74,Alcohol-Induced Causes,A,11,0,Unreliable,0,0,0
Florida,12,2002,2002,Female,F,15-24 years,15-24,Drug-Induced Causes,D,65,1026957,6.3,4.9,8.1,0.8
Florida,12,2002,2002,Female,F,25-34 years,25-34,Drug-Induced Causes,D,96,0,0.0,0,0,0
Florida,12,2002,2002,Female,F,35-44 years,35-44,Drug-Induced Causes,D,228,1272274,17.9,15.6,20.2,1.2
Florida,12,2002,2002,Female,F,35-44 years,35-44,Alcohol-Induced Causes,A,78,1272274,6.1,4.8,7.7,0.7
Florida,12,2002,2002,Female,F,45-54 years,45-54,Drug-Induced Causes,D,201,0,0.0,0,0,0
Florida,12,2002,2002,Female,F,45-54 years,45-54,Alcohol-Induced Causes,A,115,0,0.0,0,0,0
Florida,12,2002,2002,Female,F,55-64 years,55-64,Drug-Induced Causes,D,72,915817,7.9,6.2,9.9,0.9
Florida,12,2002,2002,Female,F,55-64 years,55-64,Alcohol-Induced Causes,A,84,915817,9.2,7.3,11.4,1
Florida,12,2002,2002,Female,F,65-74 years,65-74,Drug-Induced Causes,D,32,0,0.0,0,0,0
Florida,12,2002,2002,Female,F,65-74 years,65-74,Alcohol-Induced Causes,A,67,0,0.0,0,0,0
Florida,12,2002,2002,Female,F,75-84 years,75-84,Drug-Induced Causes,D,22,604749,3.6,2.3,5.5,0.8
Florida,12,2002,2002,Female,F,75-84 years,75-84,Alcohol-Induced Causes,A,21,604749,3.5,2.1,5.3,0.8
Florida,12,2002,2002,Female,F,85+ years,85+,Drug-Induced Causes,D,11,222139,Unreliable,2.5,8.9,1.5
Florida,12,2002,2002,Male,M,15-24 years,15-24,Drug-Induced Causes,D,156,0,0.0,0,0,0
Florida,12,2002,2002,Male,M,25-34 years,25-34,Drug-Induced Causes,D,253,1050730,24.1,21.1,27,1.5
Florida,12,2002,2002,Male,M,25-34 years,25-34,Alcohol-Induced Causes,A,25,0,0.0,0,0,0
Florida,12,2002,2002,Male,M,35-44 years,35-44,Drug-Induced Causes,D,424,0,0.0,0,0,0
Florida,12,2002,2002,Male,M,35-44 years,35-44,Alcohol-Induced Causes,A,152,0,0.0,0,0,0
Florida,12,2002,2002,Male,M,45-54 years,45-54,Drug-Induced Causes,D,336,0,0.0,0,0,0
Florida,12,2002,2002,Male,M,45-54 years,45-54,Alcohol-Induced Causes,A,355,0,0.0,0,0,0
Florida,12,2002,2002,Male,M,55-64 years,55-64,Drug-Induced Causes,D,80,0,0.0,0,0,0
Florida,12,2002,2002,Male,M,55-64 years,55-64,Alcohol-Induced Causes,A,280,0,0.0,0,0,0
Florida,12,2002,2002,Male,M,65-74 years,65-74,Drug-Induced Causes,D,27,677213,4.0,2.6,5.8,0.8
Florida,12,2002,2002,Male,M,65-74 years,65-74,Alcohol-Induced Causes,A,164,677213,24.2,20.5,27.9,1.9
Florida,12,2002,2002,Male,M,75-84 years,75-84,Drug-Induced Causes,D,23,0,0.0,0,0,0
Florida,12,2002,2002,Male,M,75-84 years,75-84,Alcohol-Induced Causes,A,62,0,0.0,0,0,0
Florida,12,2003,2003,Female,F,15-24 years,15-24,Drug-Induced Causes,D,61,1060518,5.8,4.4,7.4,0.7
Florida,12,2003,2003,Female,F,25-34 years,25-34,Drug-Induced Causes,D,92,0,0.0,0,0,0
Florida,12,2003,2003,Female,F,35-44 years,35-44,Drug-Induced Causes,D,231,1273859,18.1,15.8,20.5,1.2
Florida,12,2003,2003,Female,F,35-44 years,35-44,Alcohol-Induced Causes,A,76,0,0.0,0,0,0
Florida,12,2003,2003,Female,F,45-54 years,45-54,Drug-Induced Causes,D,228,1193217,19.1,16.6,21.6,1.3
Florida,12,2003,2003,Female,F,45-54 years,45-54,Alcohol-Induced Causes,A,121,0,0.0,0,0,0
Florida,12,2003,2003,Female,F,55-64 years,55-64,Drug-Induced Causes,D,87,963062,9.0,7.2,11.1,1
Florida,12,2003,2003,Female,F,55-64 years,55-64,Alcohol-Induced Causes,A,105,0,0.0,0,0,0
Florida,12,2003,2003,Female,F,65-74 years,65-74,Drug-Induced Causes,D,27,787666,3.4,2.3,5,0.7
Florida,12,2003,2003,Female,F,65-74 years,65-74,Alcohol-Induced Causes,A,58,0,0.0,0,0,0
Florida,12,2003,2003,Female,F,75-84 years,75-84,Drug-Induced Causes,D,33,0,0.0,0,0,0
Florida,12,2003,2003,Female,F,75-84 years,75-84,Alcohol-Induced Causes,A,25,610116,4.1,2.7,6,0.8
Florida,12,2003,2003,Female,F,85+ years,85+,Drug-Induced Causes,D,11,0,Unreliable,0,0,0
Florida,12,2003,2003,Male,M,15-24 years,15-24,Drug-Induced Causes,D,181,0,0.0,0,0,0
Florida,12,2003,2003,Male,M,25-34 years,25-34,Drug-Induced Causes,D,288,0,0.0,0,0,0
Florida,12,2003,2003,Male,M,25-34 years,25-34,Alcohol-Induced Causes,A,17,0,Unreliable,0,0,0
Florida,12,2003,2003,Male,M,35-44 years,35-44,Drug-Induced Causes,D,400,0,0.0,0,0,0
Florida,12,2003,2003,Male,M,35-44 years,35-44,Alcohol-Induced Causes,A,144,1259775,11.4,9.6,13.3,1
Florida,12,2003,2003,Male,M,45-54 years,45-54,Drug-Induced Causes,D,384,1125626,34.1,30.7,37.5,1.7
Florida,12,2003,2003,Male,M,45-54 years,45-54,Alcohol-Induced Causes,A,371,1125626,33.0,29.6,36.3,1.7
Florida,12,2003,2003,Male,M,55-64 years,55-64,Drug-Induced Causes,D,85,0,0.0,0,0,0
Florida,12,2003,2003,Male,M,55-64 years,55-64,Alcohol-Induced Causes,A,338,0,0.0,0,0,0
Florida,12,2003,2003,Male,M,65-74 years,65-74,Drug-Induced Causes,D,24,0,0.0,0,0,0
Florida,12,2003,2003,Male,M,65-74 years,65-74,Alcohol-Induced Causes,A,151,0,0.0,0,0,0
Florida,12,2003,2003,Male,M,75-84 years,75-84,Drug-Induced Causes,D,13,0,Unreliable,0,0,0
Florida,12,2003,2003,Male,M,75-84 years,75-84,Alcohol-Induced Causes,A,55,461011,11.9,9,15.5,1.6
Florida,12,2004,2004,Female,F,15-24 years,15-24,Drug-Induced Causes,D,61,0,0.0,0,0,0
Florida,12,2004,2004,Female,F,25-34 years,25-34,Drug-Induced Causes,D,112,0,0.0,0,0,0
Florida,12,2004,2004,Female,F,25-34 years,25-34,Alcohol-Induced Causes,A,16,1063589,Unreliable,0.9,2.4,0.4
Florida,12,2004,2004,Female,F,35-44 years,35-44,Drug-Induced Causes,D,263,0,0.0,0,0,0
Florida,12,2004,2004,Female,F,35-44 years,35-44,Alcohol-Induced Causes,A,61,0,0.0,0,0,0
Florida,12,2004,2004,Female,F,45-54 years,45-54,Drug-Induced Causes,D,289,0,0.0,0,0,0
Florida,12,2004,2004,Female,F,45-54 years,45-54,Alcohol-Induced Causes,A,137,1234688,11.1,9.2,13,0.9
Florida,12,2004,2004,Female,F,55-64 years,55-64,Drug-Induced Causes,D,85,0,0.0,0,0,0
Florida,12,2004,2004,Female,F,55-64 years,55-64,Alcohol-Induced Causes,A,87,1015190,8.6,6.9,10.6,0.9
Florida,12,2004,2004,Female,F,65-74 years,65-74,Drug-Induced Causes,D,39,796876,4.9,3.5,6.7,0.8
Florida,12,2004,2004,Female,F,65-74 years,65-74,Alcohol-Induced Causes,A,47,796876,5.9,4.3,7.8,0.9
Florida,12,2004,2004,Female,F,75-84 years,75-84,Drug-Induced Causes,D,29,0,0.0,0,0,0
Florida,12,2004,2004,Female,F,75-84 years,75-84,Alcohol-Induced Causes,A,36,0,0.0,0,0,0
Florida,12,2004,2004,Male,M,15-24 years,15-24,Drug-Induced Causes,D,190,0,0.0,0,0,0
Florida,12,2004,2004,Male,M,25-34 years,25-34,Drug-Induced Causes,D,301,0,0.0,0,0,0
Florida,12,2004,2004,Male,M,25-34 years,25-34,Alcohol-Induced Causes,A,15,0,Unreliable,0,0,0
Florida,12,2004,2004,Male,M,35-44 years,35-44,Drug-Induced Causes,D,405,0,0.0,0,0,0
Florida,12,2004,2004,Male,M,35-44 years,35-44,Alcohol-Induced Causes,A,154,0,0.0,0,0,0
Florida,12,2004,2004,Male,M,45-54 years,45-54,Drug-Induced Causes,D,451,1166734,38.7,35.1,42.2,1.8
Florida,12,2004,2004,Male,M,45-54 years,45-54,Alcohol-Induced Causes,A,374,1166734,32.1,28.8,35.3,1.7
Florida,12,2004,2004,Male,M,55-64 years,55-64,Drug-Induced Causes,D,115,908588,12.7,10.3,15,1.2
Florida,12,2004,2004,Male,M,55-64 years,55-64,Alcohol-Induced Causes,A,325,908588,35.8,31.9,39.7,2
Florida,12,2004,2004,Male,M,65-74 years,65-74,Drug-Induced Causes,D,25,696071,3.6,2.3,5.3,0.7
Florida,12,2004,2004,Male,M,65-74 years,65-74,Alcohol-Induced Causes,A,186,0,0.0,0,0,0
Florida,12,2004,2004,Male,M,75-84 years,75-84,Drug-Induced Causes,D,13,468901,Unreliable,1.5,4.7,0.8
Florida,12,2004,2004,Male,M,75-84 years,75-84,Alcohol-Induced Causes,A,65,468901,13.9,10.7,17.7,1.7
Florida,12,2004,2004,Male,M,85+ years,85+,Drug-Induced Causes,D,14,124101,Unreliable,6.2,18.9,3
Florida,12,2004,2004,Male,M,85+ years,85+,Alcohol-Induced Causes,A,10,124101,Unreliable,3.9,14.8,2.5
Florida,12,2005,2005,Female,F,15-24 years,15-24,Drug-Induced Causes,D,66,1135675,5.8,4.5,7.4,0.7
Florida,12,2005,2005,Female,F,25-34 years,25-34,Drug-Induced Causes,D,137,1086566,12.6,10.5,14.7,1.1
Florida,12,2005,2005,Female,F,35-44 years,35-44,Drug-Induced Causes,D,240,1294257,18.5,16.2,20.9,1.2
Florida,12,2005,2005,Female,F,35-44 years,35-44,Alcohol-Induced Causes,A,82,1294257,6.3,5,7.9,0.7
Florida,12,2005,2005,Female,F,45-54 years,45-54,Drug-Induced Causes,D,297,1281400,23.2,20.5,25.8,1.3
Florida,12,2005,2005,Female,F,45-54 years,45-54,Alcohol-Induced Causes,A,137,1281400,10.7,8.9,12.5,0.9
Florida,12,2005,2005,Female,F,55-64 years,55-64,Drug-Induced Causes,D,92,0,0.0,0,0,0
Florida,12,2005,2005,Female,F,55-64 years,55-64,Alcohol-Induced Causes,A,125,1067296,11.7,9.7,13.8,1
Florida,12,2005,2005,Female,F,65-74 years,65-74,Drug-Induced Causes,D,33,0,0.0,0,0,0
Florida,12,2005,2005,Female,F,65-74 years,65-74,Alcohol-Induced Causes,A,49,0,0.0,0,0,0
Florida,12,2005,2005,Female,F,75-84 years,75-84,Drug-Induced Causes,D,42,620805,6.8,4.9,9.1,1
Florida,12,2005,2005,Female,F,75-84 years,75-84,Alcohol-Induced Causes,A,21,620805,3.4,2.1,5.2,0.7
Florida,12,2005,2005,Female,F,85+ years,85+,Drug-Induced Causes,D,41,235399,17.4,12.5,23.6,2.7
Florida,12,2005,2005,Male,M,15-24 years,15-24,Drug-Induced Causes,D,195,0,0.0,0,0,0
Florida,12,2005,2005,Male,M,25-34 years,25-34,Drug-Induced Causes,D,350,1098397,31.9,28.5,35.2,1.7
Florida,12,2005,2005,Male,M,25-34 years,25-34,Alcohol-Induced Causes,A,19,0,Unreliable,0,0,0
Florida,12,2005,2005,Male,M,35-44 years,35-44,Drug-Induced Causes,D,456,1280375,35.6,32.3,38.9,1.7
Florida,12,2005,2005,Male,M,35-44 years,35-44,Alcohol-Induced Causes,A,134,0,0.0,0,0,0
Florida,12,2005,2005,Male,M,45-54 years,45-54,Drug-Induced Causes,D,453,0,0.0,0,0,0
Florida,12,2005,2005,Male,M,45-54 years,45-54,Alcohol-Induced Causes,A,376,1213762,31.0,27.8,34.1,1.6
Florida,12,2005,2005,Male,M,55-64 years,55-64,Drug-Induced Causes,D,154,956321,16.1,13.6,18.6,1.3
Florida,12,2005,2005,Male,M,55-64 years,55-64,Alcohol-Induced Causes,A,365,956321,38.2,34.3,42.1,2
Florida,12,2005,2005,Male,M,65-74 years,65-74,Drug-Induced Causes,D,40,709037,5.6,4,7.7,0.9
Florida,12,2005,2005,Male,M,65-74 years,65-74,Alcohol-Induced Causes,A,185,0,0.0,0,0,0
Florida,12,2005,2005,Male,M,75-84 years,75-84,Drug-Induced Causes,D,40,0,0.0,0,0,0
Florida,12,2005,2005,Male,M,75-84 years,75-84,Alcohol-Induced Causes,A,82,476218,17.2,13.7,21.4,1.9
Florida,12,2005,2005,Male,M,85+ years,85+,Drug-Induced Causes,D,22,0,0.0,0,0,0
Florida,12,2005,2005,Male,M,85+ years,85+,Alcohol-Induced Causes,A,15,0,Unreliable,0,0,0
Florida,12,2006,2006,Female,F,15-24 years,15-24,Drug-Induced Causes,D,82,1163264,7.0,5.6,8.7,0.8
Florida,12,2006,2006,Female,F,25-34 years,25-34,Drug-Induced Causes,D,141,0,0.0,0,0,0
Florida,12,2006,2006,Female,F,35-44 years,35-44,Drug-Induced Causes,D,247,1298263,19.0,16.7,21.4,1.2
Florida,12,2006,2006,Female,F,35-44 years,35-44,Alcohol-Induced Causes,A,77,1298263,5.9,4.7,7.4,0.7
Florida,12,2006,2006,Female,F,45-54 years,45-54,Drug-Induced Causes,D,319,0,0.0,0,0,0
Florida,12,2006,2006,Female,F,45-54 years,45-54,Alcohol-Induced Causes,A,168,1319821,12.7,10.8,14.7,1
Florida,12,2006,2006,Female,F,55-64 years,55-64,Drug-Induced Causes,D,130,1112385,11.7,9.7,13.7,1
Florida,12,2006,2006,Female,F,55-64 years,55-64,Alcohol-Induced Causes,A,129,0,0.0,0,0,0
Florida,12,2006,2006,Female,F,65-74 years,65-74,Drug-Induced Causes,D,55,818653,6.7,5.1,8.7,0.9
Florida,12,2006,2006,Female,F,65-74 years,65-74,Alcohol-Induced Causes,A,48,818653,5.9,4.3,7.8,0.8
Florida,12,2006,2006,Female,F,75-84 years,75-84,Drug-Induced Causes,D,41,616224,6.7,4.8,9,1
Florida,12,2006,2006,Female,F,75-84 years,75-84,Alcohol-Induced Causes,A,29,0,0.0,0,0,0
Florida,12,2006,2006,Female,F,85+ years,85+,Drug-Induced Causes,D,42,242340,17.3,12.5,23.4,2.7
Florida,12,2006,2006,Male,M,15-24 years,15-24,Drug-Induced Causes,D,260,0,0.0,0,0,0
Florida,12,2006,2006,Male,M,15-24 years,15-24,Alcohol-Induced Causes,A,12,0,Unreliable,0,0,0
Florida,12,2006,2006,Male,M,25-34 years,25-34,Drug-Induced Causes,D,385,0,0.0,0,0,0
Florida,12,2006,2006,Male,M,25-34 years,25-34,Alcohol-Induced Causes,A,23,0,0.0,0,0,0
Florida,12,2006,2006,Male,M,35-44 years,35-44,Drug-Induced Causes,D,445,0,0.0,0,0,0
Florida,12,2006,2006,Male,M,35-44 years,35-44,Alcohol-Induced Causes,A,162,0,0.0,0,0,0
Florida,12,2006,2006,Male,M,45-54 years,45-54,Drug-Induced Causes,D,487,0,0.0,0,0,0
Florida,12,2006,2006,Male,M,45-54 years,45-54,Alcohol-Induced Causes,A,433,1254102,34.5,31.3,37.8,1.7
Florida,12,2006,2006,Male,M,55-64 years,55-64,Drug-Induced Causes,D,156,0,0.0,0,0,0
Florida,12,2006,2006,Male,M,55-64 years,55-64,Alcohol-Induced Causes,A,395,0,0.0,0,0,0
Florida,12,2006,2006,Male,M,65-74 years,65-74,Drug-Induced Causes,D,40,716524,5.6,4,7.6,0.9
Florida,12,2006,2006,Male,M,65-74 years,65-74,Alcohol-Induced Causes,A,157,0,0.0,0,0,0
Florida,12,2006,2006,Male,M,75-84 years,75-84,Drug-Induced Causes,D,53,476167,11.1,8.3,14.6,1.5
Florida,12,2006,2006,Male,M,75-84 years,75-84,Alcohol-Induced Causes,A,78,476167,16.4,12.9,20.4,1.9
Florida,12,2006,2006,Male,M,85+ years,85+,Drug-Induced Causes,D,35,0,0.0,0,0,0
Florida,12,2006,2006,Male,M,85+ years,85+,Alcohol-Induced Causes,A,17,0,Unreliable,0,0,0
Florida,12,2007,2007,Female,F,15-24 years,15-24,Drug-Induced Causes,D,92,1179363,7.8,6.3,9.6,0.8
Florida,12,2007,2007,Female,F,25-34 years,25-34,Drug-Induced Causes,D,161,0,0.0,0,0,0
Florida,12,2007,2007,Female,F,25-34 years,25-34,Alcohol-Induced Causes,A,12,0,Unreliable,0,0,0
Florida,12,2007,2007,Female,F,35-44 years,35-44,Drug-Induced Causes,D,275,0,0.0,0,0,0
Florida,12,2007,2007,Female,F,35-44 years,35-44,Alcohol-Induced Causes,A,68,0,0.0,0,0,0
Florida,12,2007,2007,Female,F,45-54 years,45-54,Drug-Induced Causes,D,340,1345585,25.3,22.6,28,1.4
Florida,12,2007,2007,Female,F,45-54 years,45-54,Alcohol-Induced Causes,A,180,0,0.0,0,0,0
Florida,12,2007,2007,Female,F,55-64 years,55-64,Drug-Induced Causes,D,136,1145603,11.9,9.9,13.9,1
Florida,12,2007,2007,Female,F,55-64 years,55-64,Alcohol-Induced Causes,A,146,1145603,12.7,10.7,14.8,1.1
Florida,12,2007,2007,Female,F,65-74 years,65-74,Drug-Induced Causes,D,41,838351,4.9,3.5,6.6,0.8
Florida,12,2007,2007,Female,F,65-74 years,65-74,Alcohol-Induced Causes,A,56,838351,6.7,5,8.7,0.9
Florida,12,2007,2007,Female,F,75-84 years,75-84,Drug-Induced Causes,D,21,613714,3.4,2.1,5.2,0.7
Florida,12,2007,2007,Female,F,75-84 years,75-84,Alcohol-Induced Causes,A,33,613714,5.4,3.7,7.6,0.9
Florida,12,2007,2007,Female,F,85+ years,85+,Drug-Induced Causes,D,18,249981,Unreliable,4.3,11.4,1.7
Florida,12,2007,2007,Male,M,15-24 years,15-24,Drug-Induced Causes,D,247,1252680,19.7,17.3,22.2,1.3
Florida,12,2007,2007,Male,M,25-34 years,25-34,Drug-Induced Causes,D,406,0,0.0,0,0,0
Florida,12,2007,2007,Male,M,25-34 years,25-34,Alcohol-Induced Causes,A,24,1123585,2.1,1.4,3.2,0.4
Florida,12,2007,2007,Male,M,35-44 years,35-44,Drug-Induced Causes,D,434,0,0.0,0,0,0
Florida,12,2007,2007,Male,M,35-44 years,35-44,Alcohol-Induced Causes,A,130,1272045,10.2,8.5,12,0.9
Florida,12,2007,2007,Male,M,45-54 years,45-54,Drug-Induced Causes,D,491,0,0.0,0,0,0
Florida,12,2007,2007,Male,M,45-54 years,45-54,Alcohol-Induced Causes,A,420,0,0.0,0,0,0
Florida,12,2007,2007,Male,M,55-64 years,55-64,Drug-Induced Causes,D,184,1026194,17.9,15.3,20.5,1.3
Florida,12,2007,2007,Male,M,55-64 years,55-64,Alcohol-Induced Causes,A,415,0,0.0,0,0,0
Florida,12,2007,2007,Male,M,65-74 years,65-74,Drug-Induced Causes,D,47,732097,6.4,4.7,8.5,0.9
Florida,12,2007,2007,Male,M,65-74 years,65-74,Alcohol-Induced Causes,A,183,732097,25.0,21.4,28.6,1.8
Florida,12,2007,2007,Male,M,75-84 years,75-84,Drug-Induced Causes,D,21,478389,4.4,2.7,6.7,1
Florida,12,2007,2007,Male,M,75-84 years,75-84,Alcohol-Induced Causes,A,80,478389,16.7,13.3,20.8,1.9
Florida,12,2007,2007,Male,M,85+ years,85+,Alcohol-Induced Causes,A,10,0,Unreliable,0,0,0
Florida,12,2008,2008,Female,F,15-24 years,15-24,Drug-Induced Causes,D,88,1190932,7.4,5.9,9.1,0.8
Florida,12,2008,2008,Female,F,25-34 years,25-34,Drug-Induced Causes,D,161,1120056,14.4,12.2,16.6,1.1
Florida,12,2008,2008,Female,F,35-44 years,35-44,Drug-Induced Causes,D,252,0,0.0,0,0,0
Florida,12,2008,2008,Female,F,35-44 years,35-44,Alcohol-Induced Causes,A,69,1264069,5.5,4.2,6.9,0.7
Florida,12,2008,2008,Female,F,45-54 years,45-54,Drug-Induced Causes,D,374,1367781,27.3,24.6,30.1,1.4
Florida,12,2008,2008,Female,F,45-54 years,45-54,Alcohol-Induced Causes,A,184,1367781,13.5,11.5,15.4,1
Florida,12,2008,2008,Female,F,55-64 years,55-64,Drug-Induced Causes,D,139,1170297,11.9,9.9,13.9,1
Florida,12,2008,2008,Female,F,55-64 years,55-64,Alcohol-Induced Causes,A,118,0,0.0,0,0,0
Florida,12,2008,2008,Female,F,65-74 years,65-74,Drug-Induced Causes,D,46,0,0.0,0,0,0
Florida,12,2008,2008,Female,F,65-74 years,65-74,Alcohol-Induced Causes,A,67,0,0.0,0,0,0
Florida,12,2008,2008,Female,F,75-84 years,75-84,Drug-Induced Causes,D,33,614554,5.4,3.7,7.5,0.9
Florida,12,2008,2008,Female,F,75-84 years,75-84,Alcohol-Induced Causes,A,18,0,Unreliable,0,0,0
Florida,12,2008,2008,Female,F,85+ years,85+,Drug-Induced Causes,D,12,0,Unreliable,0,0,0
Florida,12,2008,2008,Male,M,15-24 years,15-24,Drug-Induced Causes,D,252,0,0.0,0,0,0
Florida,12,2008,2008,Male,M,25-34 years,25-34,Drug-Induced Causes,D,448,0,0.0,0,0,0
Florida,12,2008,2008,Male,M,25-34 years,25-34,Alcohol-Induced Causes,A,21,0,0.0,0,0,0
Florida,12,2008,2008,Male,M,35-44 years,35-44,Drug-Induced Causes,D,456,1249539,36.5,33.1,39.8,1.7
Florida,12,2008,2008,Male,M,35-44 years,35-44,Alcohol-Induced Causes,A,110,0,0.0,0,0,0
Florida,12,2008,2008,Male,M,45-54 years,45-54,Drug-Induced Causes,D,554,0,0.0,0,0,0
Florida,12,2008,2008,Male,M,45-54 years,45-54,Alcohol-Induced Causes,A,422,1307051,32.3,29.2,35.4,1.6
Florida,12,2008,2008,Male,M,55-64 years,55-64,Drug-Induced Causes,D,197,0,0.0,0,0,0
Florida,12,2008,2008,Male,M,55-64 years,55-64,Alcohol-Induced Causes,A,442,1047537,42.2,38.3,46.1,2
Florida,12,2008,2008,Male,M,65-74 years,65-74,Drug-Induced Causes,D,43,0,0.0,0,0,0
Florida,12,2008,2008,Male,M,65-74 years,65-74,Alcohol-Induced Causes,A,199,760918,26.2,22.5,29.8,1.9
Florida,12,2008,2008,Male,M,75-84 years,75-84,Drug-Induced Causes,D,26,0,0.0,0,0,0
Florida,12,2008,2008,Male,M,75-84 years,75-84,Alcohol-Induced Causes,A,77,0,0.0,0,0,0
Florida,12,2008,2008,Male,M,85+ years,85+,Alcohol-Induced Causes,A,13,146721,Unreliable,4.7,15.2,2.5
Florida,12,2009,2009,Female,F,15-24 years,15-24,Drug-Induced Causes,D,66,0,0.0,0,0,0
Florida,12,2009,2009,Female,F,25-34 years,25-34,Drug-Induced Causes,D,186,0,0.0,0,0,0
Florida,12,2009,2009,Female,F,35-44 years,35-44,Drug-Induced Causes,D,267,0,0.0,0,0,0
Florida,12,2009,2009,Female,F,35-44 years,35-44,Alcohol-Induced Causes,A,52,1236870,4.2,3.1,5.5,0.6
Florida,12,2009,2009,Female,F,45-54 years,45-54,Drug-Induced Causes,D,408,0,0.0,0,0,0
Florida,12,2009,2009,Female,F,45-54 years,45-54,Alcohol-Induced Causes,A,159,1388136,11.5,9.7,13.2,0.9
Florida,12,2009,2009,Female,F,55-64 years,55-64,Drug-Induced Causes,D,179,1201143,14.9,12.7,17.1,1.1
Florida,12,2009,2009,Female,F,55-64 years,55-64,Alcohol-Induced Causes,A,152,1201143,12.7,10.6,14.7,1
Florida,12,2009,2009,Female,F,65-74 years,65-74,Drug-Induced Causes,D,50,0,0.0,0,0,0
Florida,12,2009,2009,Female,F,65-74 years,65-74,Alcohol-Induced Causes,A,54,902281,6.0,4.5,7.8,0.8
Florida,12,2009,2009,Female,F,75-84 years,75-84,Drug-Induced Causes,D,30,0,0.0,0,0,0
Florida,12,2009,2009,Female,F,75-84 years,75-84,Alcohol-Induced Causes,A,22,0,0.0,0,0,0
Florida,12,2009,2009,Female,F,85+ years,85+,Drug-Induced Causes,D,11,268776,Unreliable,2,7.3,1.2
Florida,12,2009,2009,Male,M,15-24 years,15-24,Drug-Induced Causes,D,227,0,0.0,0,0,0
Florida,12,2009,2009,Male,M,25-34 years,25-34,Drug-Induced Causes,D,442,1139251,38.8,35.2,42.4,1.8
Florida,12,2009,2009,Male,M,25-34 years,25-34,Alcohol-Induced Causes,A,14,1139251,Unreliable,0.7,2.1,0.3
Florida,12,2009,2009,Male,M,35-44 years,35-44,Drug-Induced Causes,D,447,1223247,36.5,33.2,39.9,1.7
Florida,12,2009,2009,Male,M,35-44 years,35-44,Alcohol-Induced Causes,A,109,1223247,8.9,7.2,10.6,0.9
Florida,12,2009,2009,Male,M,45-54 years,45-54,Drug-Induced Causes,D,553,0,0.0,0,0,0
Florida,12,2009,2009,Male,M,45-54 years,45-54,Alcohol-Induced Causes,A,401,1327057,30.2,27.3,33.2,1.5
Florida,12,2009,2009,Male,M,55-64 years,55-64,Drug-Induced Causes,D,251,1073456,23.4,20.5,26.3,1.5
Florida,12,2009,2009,Male,M,55-64 years,55-64,Alcohol-Induced Causes,A,425,0,0.0,0,0,0
Florida,12,2009,2009,Male,M,65-74 years,65-74,Drug-Induced Causes,D,38,787407,4.8,3.4,6.6,0.8
Florida,12,2009,2009,Male,M,65-74 years,65-74,Alcohol-Induced Causes,A,185,0,0.0,0,0,0
Florida,12,2009,2009,Male,M,75-84 years,75-84,Drug-Induced Causes,D,17,483119,Unreliable,2,5.6,0.9
Florida,12,2009,2009,Male,M,75-84 years,75-84,Alcohol-Induced Causes,A,77,0,0.0,0,0,0
Florida,12,2009,2009,Male,M,85+ years,85+,Drug-Induced Causes,D,11,0,Unreliable,0,0,0
