State,State Code,Year,Year Code,Drug/Alcohol Induced Causes,Drug/Alcohol Induced Causes Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
Idaho,16,,,Total,,5230,25125742,20.8,20.3,21.4,0.3
Illinois,17,1999,1999,Drug-Induced Causes,D,872,12359020,7.1,6.6,7.5,0.2
Illinois,17,1999,1999,Alcohol-Induced Causes,A,643,12359020,5.2,4.8,5.6,0.2
Illinois,17,1999,1999,Total,,1515,12359020,12.3,11.6,12.9,0.3
Illinois,17,2000,2000,Drug-Induced Causes,D,910,12419293,7.3,6.9,7.8,0.2
Illinois,17,2000,2000,Alcohol-Induced Causes,A,563,12419293,4.5,4.2,4.9,0.2
Illinois,17,2000,2000,Total,,1473,12419293,11.9,11.3,12.5,0.3
Illinois,17,2001,2001,Drug-Induced Causes,D,930,12488445,7.4,7,7.9,0.2
Illinois,17,2001,2001,Alcohol-Induced Causes,A,634,12488445,5.1,4.7,5.5,0.2
Illinois,17,2001,2001,Total,,1564,12488445,12.5,11.9,13.1,0.3
Illinois,17,2002,2002,Drug-Induced Causes,D,1030,12525556,8.2,7.7,8.7,0.3
Illinois,17,2002,2002,Alcohol-Induced Causes,A,582,12525556,4.6,4.3,5,0.2
Illinois,17,2002,2002,Total,,1612,12525556,12.9,12.2,13.5,0.3
Illinois,17,2003,2003,Drug-Induced Causes,D,872,12556006,6.9,6.5,7.4,0.2
Illinois,17,2003,2003,Alcohol-Induced Causes,A,568,12556006,4.5,4.2,4.9,0.2
Illinois,17,2003,2003,Total,,1440,12556006,11.5,10.9,12.1,0.3
Illinois,17,2004,2004,Drug-Induced Causes,D,1080,12589773,8.6,8.1,9.1,0.3
Illinois,17,2004,2004,Alcohol-Induced Causes,A,592,12589773,4.7,4.3,5.1,0.2
Illinois,17,2004,2004,Total,,1672,12589773,13.3,12.6,13.9,0.3
Illinois,17,2005,2005,Drug-Induced Causes,D,1140,12609903,9,8.5,9.6,0.3
Illinois,17,2005,2005,Alcohol-Induced Causes,A,572,12609903,4.5,4.2,4.9,0.2
Illinois,17,2005,2005,Total,,1712,12609903,13.6,12.9,14.2,0.3
Illinois,17,2006,2006,Drug-Induced Causes,D,1423,12643955,11.3,10.7,11.8,0.3
Illinois,17,2006,2006,Alcohol-Induced Causes,A,610,12643955,4.8,4.4,5.2,0.2
Illinois,17,2006,2006,Total,,2033,12643955,16.1,15.4,16.8,0.4
Illinois,17,2007,2007,Drug-Induced Causes,D,1239,12695866,9.8,9.2,10.3,0.3
Illinois,17,2007,2007,Alcohol-Induced Causes,A,630,12695866,5,4.6,5.3,0.2
Illinois,17,2007,2007,Total,,1869,12695866,14.7,14.1,15.4,0.3
Illinois,17,2008,2008,Drug-Induced Causes,D,1412,12747038,11.1,10.5,11.7,0.3
Illinois,17,2008,2008,Alcohol-Induced Causes,A,707,12747038,5.5,5.1,6,0.2
Illinois,17,2008,2008,Total,,2119,12747038,16.6,15.9,17.3,0.4
Illinois,17,2009,2009,Drug-Induced Causes,D,1427,12796778,11.2,10.6,11.7,0.3
Illinois,17,2009,2009,Alcohol-Induced Causes,A,746,12796778,5.8,5.4,6.2,0.2
Illinois,17,2009,2009,Total,,2173,12796778,17,16.3,17.7,0.4
Illinois,17,2010,2010,Drug-Induced Causes,D,1344,12830632,10.5,9.9,11,0.3
Illinois,17,2010,2010,Alcohol-Induced Causes,A,690,12830632,5.4,5,5.8,0.2
Illinois,17,2010,2010,Total,,2034,12830632,15.9,15.2,16.5,0.4
Illinois,17,2011,2011,Drug-Induced Causes,D,1459,12869257,11.3,10.8,11.9,0.3
Illinois,17,2011,2011,Alcohol-Induced Causes,A,775,12869257,6,5.6,6.4,0.2
Illinois,17,2011,2011,Total,,2234,12869257,17.4,16.6,18.1,0.4
Illinois,17,2012,2012,Drug-Induced Causes,D,1667,12875255,12.9,12.3,13.6,0.3
Illinois,17,2012,2012,Alcohol-Induced Causes,A,777,12875255,6,5.6,6.5,0.2
Illinois,17,2012,2012,Total,,2444,12875255,19,18.2,19.7,0.4
Illinois,17,2013,2013,Drug-Induced Causes,D,1607,12882135,12.5,11.9,13.1,0.3
Illinois,17,2013,2013,Alcohol-Induced Causes,A,813,12882135,6.3,5.9,6.7,0.2
Illinois,17,2013,2013,Total,,2420,12882135,18.8,18,19.5,0.4
Illinois,17,2014,2014,Drug-Induced Causes,D,1736,12880580,13.5,12.8,14.1,0.3
Illinois,17,2014,2014,Alcohol-Induced Causes,A,889,12880580,6.9,6.4,7.4,0.2
Illinois,17,2014,2014,Total,,2625,12880580,20.4,19.6,21.2,0.4
Illinois,17,2015,2015,Drug-Induced Causes,D,1872,12859995,14.6,13.9,15.2,0.3
Illinois,17,2015,2015,Alcohol-Induced Causes,A,946,12859995,7.4,6.9,7.8,0.2
Illinois,17,2015,2015,Total,,2818,12859995,21.9,21.1,22.7,0.4
Illinois,17,,,Total,,33757,215629487,15.7,15.5,15.8,0.1
Indiana,18,1999,1999,Drug-Induced Causes,D,251,6044969,4.2,3.6,4.7,0.3
Indiana,18,1999,1999,Alcohol-Induced Causes,A,307,6044969,5.1,4.5,5.6,0.3
Indiana,18,1999,1999,Total,,558,6044969,9.2,8.5,10,0.4
Indiana,18,2000,2000,Drug-Induced Causes,D,289,6080485,4.8,4.2,5.3,0.3
Indiana,18,2000,2000,Alcohol-Induced Causes,A,347,6080485,5.7,5.1,6.3,0.3
Indiana,18,2000,2000,Total,,636,6080485,10.5,9.6,11.3,0.4
Indiana,18,2001,2001,Drug-Induced Causes,D,348,6127760,5.7,5.1,6.3,0.3
Indiana,18,2001,2001,Alcohol-Induced Causes,A,310,6127760,5.1,4.5,5.6,0.3
Indiana,18,2001,2001,Total,,658,6127760,10.7,9.9,11.6,0.4
Indiana,18,2002,2002,Drug-Induced Causes,D,345,6155967,5.6,5,6.2,0.3
Indiana,18,2002,2002,Alcohol-Induced Causes,A,325,6155967,5.3,4.7,5.9,0.3
Indiana,18,2002,2002,Total,,670,6155967,10.9,10.1,11.7,0.4
Indiana,18,2003,2003,Drug-Induced Causes,D,498,6196638,8,7.3,8.7,0.4
Indiana,18,2003,2003,Alcohol-Induced Causes,A,330,6196638,5.3,4.8,5.9,0.3
Indiana,18,2003,2003,Total,,828,6196638,13.4,12.5,14.3,0.5
Indiana,18,2004,2004,Drug-Induced Causes,D,606,6233007,9.7,8.9,10.5,0.4
Indiana,18,2004,2004,Alcohol-Induced Causes,A,327,6233007,5.2,4.7,5.8,0.3
Indiana,18,2004,2004,Total,,933,6233007,15,14,15.9,0.5
Indiana,18,2005,2005,Drug-Induced Causes,D,665,6278616,10.6,9.8,11.4,0.4
Indiana,18,2005,2005,Alcohol-Induced Causes,A,319,6278616,5.1,4.5,5.6,0.3
Indiana,18,2005,2005,Total,,984,6278616,15.7,14.7,16.7,0.5
Indiana,18,2006,2006,Drug-Induced Causes,D,773,6332669,12.2,11.3,13.1,0.4
Indiana,18,2006,2006,Alcohol-Induced Causes,A,332,6332669,5.2,4.7,5.8,0.3
Indiana,18,2006,2006,Total,,1105,6332669,17.4,16.4,18.5,0.5
Indiana,18,2007,2007,Drug-Induced Causes,D,827,6379599,13,12.1,13.8,0.5
Indiana,18,2007,2007,Alcohol-Induced Causes,A,315,6379599,4.9,4.4,5.5,0.3
Indiana,18,2007,2007,Total,,1142,6379599,17.9,16.9,18.9,0.5
Indiana,18,2008,2008,Drug-Induced Causes,D,869,6424806,13.5,12.6,14.4,0.5
Indiana,18,2008,2008,Alcohol-Induced Causes,A,376,6424806,5.9,5.3,6.4,0.3
Indiana,18,2008,2008,Total,,1245,6424806,19.4,18.3,20.5,0.5
Indiana,18,2009,2009,Drug-Induced Causes,D,929,6459325,14.4,13.5,15.3,0.5
Indiana,18,2009,2009,Alcohol-Induced Causes,A,381,6459325,5.9,5.3,6.5,0.3
Indiana,18,2009,2009,Total,,1310,6459325,20.3,19.2,21.4,0.6
Indiana,18,2010,2010,Drug-Induced Causes,D,964,6483802,14.9,13.9,15.8,0.5
Indiana,18,2010,2010,Alcohol-Induced Causes,A,435,6483802,6.7,6.1,7.3,0.3
Indiana,18,2010,2010,Total,,1399,6483802,21.6,20.4,22.7,0.6
Indiana,18,2011,2011,Drug-Induced Causes,D,1006,6516922,15.4,14.5,16.4,0.5
Indiana,18,2011,2011,Alcohol-Induced Causes,A,495,6516922,7.6,6.9,8.3,0.3
Indiana,18,2011,2011,Total,,1501,6516922,23,21.9,24.2,0.6
Indiana,18,2012,2012,Drug-Induced Causes,D,1056,6537334,16.2,15.2,17.1,0.5
Indiana,18,2012,2012,Alcohol-Induced Causes,A,499,6537334,7.6,7,8.3,0.3
Indiana,18,2012,2012,Total,,1555,6537334,23.8,22.6,25,0.6
Indiana,18,2013,2013,Drug-Induced Causes,D,1122,6570902,17.1,16.1,18.1,0.5
Indiana,18,2013,2013,Alcohol-Induced Causes,A,533,6570902,8.1,7.4,8.8,0.4
Indiana,18,2013,2013,Total,,1655,6570902,25.2,24,26.4,0.6
Indiana,18,2014,2014,Drug-Induced Causes,D,1233,6596855,18.7,17.6,19.7,0.5
Indiana,18,2014,2014,Alcohol-Induced Causes,A,592,6596855,9,8.3,9.7,0.4
Indiana,18,2014,2014,Total,,1825,6596855,27.7,26.4,28.9,0.6
Indiana,18,2015,2015,Drug-Induced Causes,D,1310,6619680,19.8,18.7,20.9,0.5
Indiana,18,2015,2015,Alcohol-Induced Causes,A,689,6619680,10.4,9.6,11.2,0.4
Indiana,18,2015,2015,Total,,1999,6619680,30.2,28.9,31.5,0.7
Indiana,18,,,Total,,20003,108039336,18.5,18.3,18.8,0.1
Iowa,19,1999,1999,Drug-Induced Causes,D,59,2917634,2,1.5,2.6,0.3
Iowa,19,1999,1999,Alcohol-Induced Causes,A,153,2917634,5.2,4.4,6.1,0.4
Iowa,19,1999,1999,Total,,212,2917634,7.3,6.3,8.2,0.5
Iowa,19,2000,2000,Drug-Induced Causes,D,79,2926324,2.7,2.1,3.4,0.3
Iowa,19,2000,2000,Alcohol-Induced Causes,A,135,2926324,4.6,3.8,5.4,0.4
Iowa,19,2000,2000,Total,,214,2926324,7.3,6.3,8.3,0.5
Iowa,19,2001,2001,Drug-Induced Causes,D,90,2931997,3.1,2.5,3.8,0.3
Iowa,19,2001,2001,Alcohol-Induced Causes,A,158,2931997,5.4,4.5,6.2,0.4
Iowa,19,2001,2001,Total,,248,2931997,8.5,7.4,9.5,0.5
Iowa,19,2002,2002,Drug-Induced Causes,D,101,2934234,3.4,2.8,4.1,0.3
Iowa,19,2002,2002,Alcohol-Induced Causes,A,162,2934234,5.5,4.7,6.4,0.4
Iowa,19,2002,2002,Total,,263,2934234,9,7.9,10,0.6
Iowa,19,2003,2003,Drug-Induced Causes,D,110,2941999,3.7,3,4.4,0.4
Iowa,19,2003,2003,Alcohol-Induced Causes,A,167,2941999,5.7,4.8,6.5,0.4
Iowa,19,2003,2003,Total,,277,2941999,9.4,8.3,10.5,0.6
Iowa,19,2004,2004,Drug-Induced Causes,D,132,2953635,4.5,3.7,5.2,0.4
Iowa,19,2004,2004,Alcohol-Induced Causes,A,156,2953635,5.3,4.5,6.1,0.4
Iowa,19,2004,2004,Total,,288,2953635,9.8,8.6,10.9,0.6
Iowa,19,2005,2005,Drug-Induced Causes,D,154,2964454,5.2,4.4,6,0.4
Iowa,19,2005,2005,Alcohol-Induced Causes,A,193,2964454,6.5,5.6,7.4,0.5
Iowa,19,2005,2005,Total,,347,2964454,11.7,10.5,12.9,0.6
Iowa,19,2006,2006,Drug-Induced Causes,D,199,2982644,6.7,5.7,7.6,0.5
Iowa,19,2006,2006,Alcohol-Induced Causes,A,185,2982644,6.2,5.3,7.1,0.5
Iowa,19,2006,2006,Total,,384,2982644,12.9,11.6,14.2,0.7
Iowa,19,2007,2007,Drug-Induced Causes,D,211,2999212,7,6.1,8,0.5
Iowa,19,2007,2007,Alcohol-Induced Causes,A,212,2999212,7.1,6.1,8,0.5
Iowa,19,2007,2007,Total,,423,2999212,14.1,12.8,15.4,0.7
Iowa,19,2008,2008,Drug-Induced Causes,D,214,3016734,7.1,6.1,8,0.5
Iowa,19,2008,2008,Alcohol-Induced Causes,A,205,3016734,6.8,5.9,7.7,0.5
Iowa,19,2008,2008,Total,,419,3016734,13.9,12.6,15.2,0.7
Iowa,19,2009,2009,Drug-Induced Causes,D,213,3032870,7,6.1,8,0.5
Iowa,19,2009,2009,Alcohol-Induced Causes,A,230,3032870,7.6,6.6,8.6,0.5
Iowa,19,2009,2009,Total,,443,3032870,14.6,13.2,16,0.7
Iowa,19,2010,2010,Drug-Induced Causes,D,258,3046355,8.5,7.4,9.5,0.5
Iowa,19,2010,2010,Alcohol-Induced Causes,A,233,3046355,7.6,6.7,8.6,0.5
Iowa,19,2010,2010,Total,,491,3046355,16.1,14.7,17.5,0.7
Iowa,19,2011,2011,Drug-Induced Causes,D,265,3062309,8.7,7.6,9.7,0.5
Iowa,19,2011,2011,Alcohol-Induced Causes,A,256,3062309,8.4,7.3,9.4,0.5
Iowa,19,2011,2011,Total,,521,3062309,17,15.6,18.5,0.7
Iowa,19,2012,2012,Drug-Induced Causes,D,268,3074186,8.7,7.7,9.8,0.5
Iowa,19,2012,2012,Alcohol-Induced Causes,A,275,3074186,8.9,7.9,10,0.5
Iowa,19,2012,2012,Total,,543,3074186,17.7,16.2,19.1,0.8
Iowa,19,2013,2013,Drug-Induced Causes,D,287,3090416,9.3,8.2,10.4,0.5
Iowa,19,2013,2013,Alcohol-Induced Causes,A,313,3090416,10.1,9,11.3,0.6
Iowa,19,2013,2013,Total,,600,3090416,19.4,17.9,21,0.8
Iowa,19,2014,2014,Drug-Induced Causes,D,273,3107126,8.8,7.7,9.8,0.5
Iowa,19,2014,2014,Alcohol-Induced Causes,A,360,3107126,11.6,10.4,12.8,0.6
Iowa,19,2014,2014,Total,,633,3107126,20.4,18.8,22,0.8
Iowa,19,2015,2015,Drug-Induced Causes,D,332,3123899,10.6,9.5,11.8,0.6
Iowa,19,2015,2015,Alcohol-Induced Causes,A,344,3123899,11,9.8,12.2,0.6
Iowa,19,2015,2015,Total,,676,3123899,21.6,20,23.3,0.8
Iowa,19,,,Total,,6982,51106028,13.7,13.3,14,0.2
Kansas,20,1999,1999,Drug-Induced Causes,D,100,2678338,3.7,3,4.5,0.4
Kansas,20,1999,1999,Alcohol-Induced Causes,A,132,2678338,4.9,4.1,5.8,0.4
Kansas,20,1999,1999,Total,,232,2678338,8.7,7.5,9.8,0.6
Kansas,20,2000,2000,Drug-Induced Causes,D,112,2688418,4.2,3.4,4.9,0.4
Kansas,20,2000,2000,Alcohol-Induced Causes,A,137,2688418,5.1,4.2,5.9,0.4
Kansas,20,2000,2000,Total,,249,2688418,9.3,8.1,10.4,0.6
Kansas,20,2001,2001,Drug-Induced Causes,D,148,2702162,5.5,4.6,6.4,0.5
Kansas,20,2001,2001,Alcohol-Induced Causes,A,158,2702162,5.8,4.9,6.8,0.5
Kansas,20,2001,2001,Total,,306,2702162,11.3,10.1,12.6,0.6
Kansas,20,2002,2002,Drug-Induced Causes,D,189,2713535,7,6,8,0.5
Kansas,20,2002,2002,Alcohol-Induced Causes,A,170,2713535,6.3,5.3,7.2,0.5
Kansas,20,2002,2002,Total,,359,2713535,13.2,11.9,14.6,0.7
Kansas,20,2003,2003,Drug-Induced Causes,D,197,2723004,7.2,6.2,8.2,0.5
Kansas,20,2003,2003,Alcohol-Induced Causes,A,173,2723004,6.4,5.4,7.3,0.5
Kansas,20,2003,2003,Total,,370,2723004,13.6,12.2,15,0.7
Kansas,20,2004,2004,Drug-Induced Causes,D,238,2734373,8.7,7.6,9.8,0.6
Kansas,20,2004,2004,Alcohol-Induced Causes,A,167,2734373,6.1,5.2,7,0.5
Kansas,20,2004,2004,Total,,405,2734373,14.8,13.4,16.3,0.7
Kansas,20,2005,2005,Drug-Induced Causes,D,284,2745299,10.3,9.1,11.5,0.6
Kansas,20,2005,2005,Alcohol-Induced Causes,A,177,2745299,6.4,5.5,7.4,0.5
Kansas,20,2005,2005,Total,,461,2745299,16.8,15.3,18.3,0.8
Kansas,20,2006,2006,Drug-Induced Causes,D,292,2762931,10.6,9.4,11.8,0.6
Kansas,20,2006,2006,Alcohol-Induced Causes,A,184,2762931,6.7,5.7,7.6,0.5
Kansas,20,2006,2006,Total,,476,2762931,17.2,15.7,18.8,0.8
Kansas,20,2007,2007,Drug-Induced Causes,D,294,2783785,10.6,9.4,11.8,0.6
Kansas,20,2007,2007,Alcohol-Induced Causes,A,211,2783785,7.6,6.6,8.6,0.5
Kansas,20,2007,2007,Total,,505,2783785,18.1,16.6,19.7,0.8
Kansas,20,2008,2008,Drug-Induced Causes,D,241,2808076,8.6,7.5,9.7,0.6
Kansas,20,2008,2008,Alcohol-Induced Causes,A,205,2808076,7.3,6.3,8.3,0.5
Kansas,20,2008,2008,Total,,446,2808076,15.9,14.4,17.4,0.8
Kansas,20,2009,2009,Drug-Induced Causes,D,318,2832704,11.2,10,12.5,0.6
Kansas,20,2009,2009,Alcohol-Induced Causes,A,225,2832704,7.9,6.9,9,0.5
Kansas,20,2009,2009,Total,,543,2832704,19.2,17.6,20.8,0.8
Kansas,20,2010,2010,Drug-Induced Causes,D,288,2853118,10.1,8.9,11.3,0.6
Kansas,20,2010,2010,Alcohol-Induced Causes,A,201,2853118,7,6.1,8,0.5
Kansas,20,2010,2010,Total,,489,2853118,17.1,15.6,18.7,0.8
Kansas,20,2011,2011,Drug-Induced Causes,D,317,2871238,11,9.8,12.3,0.6
Kansas,20,2011,2011,Alcohol-Induced Causes,A,230,2871238,8,7,9,0.5
Kansas,20,2011,2011,Total,,547,2871238,19.1,17.5,20.6,0.8
Kansas,20,2012,2012,Drug-Induced Causes,D,341,2885905,11.8,10.6,13.1,0.6
Kansas,20,2012,2012,Alcohol-Induced Causes,A,225,2885905,7.8,6.8,8.8,0.5
Kansas,20,2012,2012,Total,,566,2885905,19.6,18,21.2,0.8
Kansas,20,2013,2013,Drug-Induced Causes,D,356,2893957,12.3,11,13.6,0.7
Kansas,20,2013,2013,Alcohol-Induced Causes,A,212,2893957,7.3,6.3,8.3,0.5
Kansas,20,2013,2013,Total,,568,2893957,19.6,18,21.2,0.8
Kansas,20,2014,2014,Drug-Induced Causes,D,349,2904021,12,10.8,13.3,0.6
Kansas,20,2014,2014,Alcohol-Induced Causes,A,263,2904021,9.1,8,10.2,0.6
Kansas,20,2014,2014,Total,,612,2904021,21.1,19.4,22.7,0.9
Kansas,20,2015,2015,Drug-Induced Causes,D,349,2911641,12,10.7,13.2,0.6
Kansas,20,2015,2015,Alcohol-Induced Causes,A,278,2911641,9.5,8.4,10.7,0.6
Kansas,20,2015,2015,Total,,627,2911641,21.5,19.8,23.2,0.9
Kansas,20,,,Total,,7761,47492505,16.3,16,16.7,0.2
Kentucky,21,1999,1999,Drug-Induced Causes,D,215,4018053,5.4,4.6,6.1,0.4
Kentucky,21,1999,1999,Alcohol-Induced Causes,A,238,4018053,5.9,5.2,6.7,0.4
Kentucky,21,1999,1999,Total,,453,4018053,11.3,10.2,12.3,0.5
Kentucky,21,2000,2000,Drug-Induced Causes,D,257,4041769,6.4,5.6,7.1,0.4
Kentucky,21,2000,2000,Alcohol-Induced Causes,A,263,4041769,6.5,5.7,7.3,0.4
Kentucky,21,2000,2000,Total,,520,4041769,12.9,11.8,14,0.6
Kentucky,21,2001,2001,Drug-Induced Causes,D,370,4068132,9.1,8.2,10,0.5
Kentucky,21,2001,2001,Alcohol-Induced Causes,A,257,4068132,6.3,5.5,7.1,0.4
Kentucky,21,2001,2001,Total,,627,4068132,15.4,14.2,16.6,0.6
Kentucky,21,2002,2002,Drug-Induced Causes,D,451,4089875,11,10,12,0.5
Kentucky,21,2002,2002,Alcohol-Induced Causes,A,235,4089875,5.7,5,6.5,0.4
Kentucky,21,2002,2002,Total,,686,4089875,16.8,15.5,18,0.6
Kentucky,21,2003,2003,Drug-Induced Causes,D,588,4117170,14.3,13.1,15.4,0.6
Kentucky,21,2003,2003,Alcohol-Induced Causes,A,241,4117170,5.9,5.1,6.6,0.4
Kentucky,21,2003,2003,Total,,829,4117170,20.1,18.8,21.5,0.7
Kentucky,21,2004,2004,Drug-Induced Causes,D,559,4146101,13.5,12.4,14.6,0.6
Kentucky,21,2004,2004,Alcohol-Induced Causes,A,244,4146101,5.9,5.1,6.6,0.4
Kentucky,21,2004,2004,Total,,803,4146101,19.4,18,20.7,0.7
Kentucky,21,2005,2005,Drug-Induced Causes,D,662,4182742,15.8,14.6,17,0.6
Kentucky,21,2005,2005,Alcohol-Induced Causes,A,252,4182742,6,5.3,6.8,0.4
Kentucky,21,2005,2005,Total,,914,4182742,21.9,20.4,23.3,0.7
Kentucky,21,2006,2006,Drug-Induced Causes,D,766,4219239,18.2,16.9,19.4,0.7
Kentucky,21,2006,2006,Alcohol-Induced Causes,A,232,4219239,5.5,4.8,6.2,0.4
Kentucky,21,2006,2006,Total,,998,4219239,23.7,22.2,25.1,0.7
Kentucky,21,2007,2007,Drug-Induced Causes,D,722,4256672,17,15.7,18.2,0.6
Kentucky,21,2007,2007,Alcohol-Induced Causes,A,283,4256672,6.6,5.9,7.4,0.4
Kentucky,21,2007,2007,Total,,1005,4256672,23.6,22.2,25.1,0.7
Kentucky,21,2008,2008,Drug-Induced Causes,D,779,4289878,18.2,16.9,19.4,0.7
Kentucky,21,2008,2008,Alcohol-Induced Causes,A,237,4289878,5.5,4.8,6.2,0.4
Kentucky,21,2008,2008,Total,,1016,4289878,23.7,22.2,25.1,0.7
Kentucky,21,2009,2009,Drug-Induced Causes,D,786,4317074,18.2,16.9,19.5,0.6
Kentucky,21,2009,2009,Alcohol-Induced Causes,A,301,4317074,7,6.2,7.8,0.4
Kentucky,21,2009,2009,Total,,1087,4317074,25.2,23.7,26.7,0.8
Kentucky,21,2010,2010,Drug-Induced Causes,D,1036,4339367,23.9,22.4,25.3,0.7
Kentucky,21,2010,2010,Alcohol-Induced Causes,A,302,4339367,7,6.2,7.7,0.4
Kentucky,21,2010,2010,Total,,1338,4339367,30.8,29.2,32.5,0.8
Kentucky,21,2011,2011,Drug-Induced Causes,D,1099,4369356,25.2,23.7,26.6,0.8
Kentucky,21,2011,2011,Alcohol-Induced Causes,A,293,4369356,6.7,5.9,7.5,0.4
Kentucky,21,2011,2011,Total,,1392,4369356,31.9,30.2,33.5,0.9
Kentucky,21,2012,2012,Drug-Induced Causes,D,1126,4380415,25.7,24.2,27.2,0.8
Kentucky,21,2012,2012,Alcohol-Induced Causes,A,351,4380415,8,7.2,8.9,0.4
Kentucky,21,2012,2012,Total,,1477,4380415,33.7,32,35.4,0.9
Kentucky,21,2013,2013,Drug-Induced Causes,D,1049,4395295,23.9,22.4,25.3,0.7
Kentucky,21,2013,2013,Alcohol-Induced Causes,A,331,4395295,7.5,6.7,8.3,0.4
Kentucky,21,2013,2013,Total,,1380,4395295,31.4,29.7,33.1,0.8
Kentucky,21,2014,2014,Drug-Induced Causes,D,1128,4413457,25.6,24.1,27,0.8
Kentucky,21,2014,2014,Alcohol-Induced Causes,A,396,4413457,9,8.1,9.9,0.5
Kentucky,21,2014,2014,Total,,1524,4413457,34.5,32.8,36.3,0.9
Kentucky,21,2015,2015,Drug-Induced Causes,D,1332,4425092,30.1,28.5,31.7,0.8
Kentucky,21,2015,2015,Alcohol-Induced Causes,A,466,4425092,10.5,9.6,11.5,0.5
Kentucky,21,2015,2015,Total,,1798,4425092,40.6,38.8,42.5,1
Kentucky,21,,,Total,,17847,72069687,24.8,24.4,25.1,0.2
Louisiana,22,1999,1999,Drug-Induced Causes,D,246,4460811,5.5,4.8,6.2,0.4
Louisiana,22,1999,1999,Alcohol-Induced Causes,A,301,4460811,6.7,6,7.5,0.4
Louisiana,22,1999,1999,Total,,547,4460811,12.3,11.2,13.3,0.5
Louisiana,22,2000,2000,Drug-Induced Causes,D,335,4468976,7.5,6.7,8.3,0.4
Louisiana,22,2000,2000,Alcohol-Induced Causes,A,223,4468976,5,4.3,5.6,0.3
Louisiana,22,2000,2000,Total,,558,4468976,12.5,11.5,13.5,0.5
Louisiana,22,2001,2001,Drug-Induced Causes,D,351,4477875,7.8,7,8.7,0.4
Louisiana,22,2001,2001,Alcohol-Induced Causes,A,238,4477875,5.3,4.6,6,0.3
Louisiana,22,2001,2001,Total,,589,4477875,13.2,12.1,14.2,0.5
Louisiana,22,2002,2002,Drug-Induced Causes,D,468,4497267,10.4,9.5,11.3,0.5
Louisiana,22,2002,2002,Alcohol-Induced Causes,A,231,4497267,5.1,4.5,5.8,0.3
Louisiana,22,2002,2002,Total,,699,4497267,15.5,14.4,16.7,0.6
Louisiana,22,2003,2003,Drug-Induced Causes,D,630,4521042,13.9,12.8,15,0.6
Louisiana,22,2003,2003,Alcohol-Induced Causes,A,227,4521042,5,4.4,5.7,0.3
Louisiana,22,2003,2003,Total,,857,4521042,19,17.7,20.2,0.6
Louisiana,22,2004,2004,Drug-Induced Causes,D,656,4552238,14.4,13.3,15.5,0.6
Louisiana,22,2004,2004,Alcohol-Induced Causes,A,216,4552238,4.7,4.1,5.4,0.3
Louisiana,22,2004,2004,Total,,872,4552238,19.2,17.9,20.4,0.6
Louisiana,22,2005,2005,Drug-Induced Causes,D,752,4576628,16.4,15.3,17.6,0.6
Louisiana,22,2005,2005,Alcohol-Induced Causes,A,216,4576628,4.7,4.1,5.3,0.3
Louisiana,22,2005,2005,Total,,968,4576628,21.2,19.8,22.5,0.7
Louisiana,22,2006,2006,Drug-Induced Causes,D,800,4302665,18.6,17.3,19.9,0.7
Louisiana,22,2006,2006,Alcohol-Induced Causes,A,221,4302665,5.1,4.5,5.8,0.3
Louisiana,22,2006,2006,Total,,1021,4302665,23.7,22.3,25.2,0.7
Louisiana,22,2007,2007,Drug-Induced Causes,D,862,4375581,19.7,18.4,21,0.7
Louisiana,22,2007,2007,Alcohol-Induced Causes,A,202,4375581,4.6,4,5.3,0.3
Louisiana,22,2007,2007,Total,,1064,4375581,24.3,22.9,25.8,0.7
Louisiana,22,2008,2008,Drug-Induced Causes,D,686,4435586,15.5,14.3,16.6,0.6
Louisiana,22,2008,2008,Alcohol-Induced Causes,A,210,4435586,4.7,4.1,5.4,0.3
Louisiana,22,2008,2008,Total,,896,4435586,20.2,18.9,21.5,0.7
Louisiana,22,2009,2009,Drug-Induced Causes,D,623,4491648,13.9,12.8,15,0.6
Louisiana,22,2009,2009,Alcohol-Induced Causes,A,219,4491648,4.9,4.2,5.5,0.3
Louisiana,22,2009,2009,Total,,842,4491648,18.7,17.5,20,0.6
Louisiana,22,2010,2010,Drug-Induced Causes,D,616,4533372,13.6,12.5,14.7,0.5
Louisiana,22,2010,2010,Alcohol-Induced Causes,A,235,4533372,5.2,4.5,5.8,0.3
Louisiana,22,2010,2010,Total,,851,4533372,18.8,17.5,20,0.6
Louisiana,22,2011,2011,Drug-Induced Causes,D,618,4574836,13.5,12.4,14.6,0.5
Louisiana,22,2011,2011,Alcohol-Induced Causes,A,190,4574836,4.2,3.6,4.7,0.3
Louisiana,22,2011,2011,Total,,808,4574836,17.7,16.4,18.9,0.6
Louisiana,22,2012,2012,Drug-Induced Causes,D,588,4601893,12.8,11.7,13.8,0.5
Louisiana,22,2012,2012,Alcohol-Induced Causes,A,215,4601893,4.7,4,5.3,0.3
Louisiana,22,2012,2012,Total,,803,4601893,17.4,16.2,18.7,0.6
Louisiana,22,2013,2013,Drug-Induced Causes,D,836,4625470,18.1,16.8,19.3,0.6
Louisiana,22,2013,2013,Alcohol-Induced Causes,A,299,4625470,6.5,5.7,7.2,0.4
Louisiana,22,2013,2013,Total,,1135,4625470,24.5,23.1,26,0.7
